# (c) Die Bundeswahlleiterin, Statistische Ämter des Bundes und der Länder, Wiesbaden 2024;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 21. Deutschen Bundestag (gemäß 27. Gesetz zur Änderung des Bundeswahlgesetzes vom 07.03.2024 (BGBl. 2024 I Nr. 91) und Bekanntmachung zur Wahlkreiseinteilung vom 27.12.2024 (BGBl. 2024 I Nr. 437));;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 30.11.2024;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5940;159;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Sieverstedt;;;;24885;
001;Flensburg – Schleswig;01;0;59;5940;171;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Tarp;;;;24963;
001;Flensburg – Schleswig;01;0;59;5940;184;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Oeversee;;;;24988;
001;Flensburg – Schleswig;01;0;59;5949;076;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Schnarup-Thumby;;;;24891;
001;Flensburg – Schleswig;01;0;59;5949;161;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Sörup;;;;24966;
001;Flensburg – Schleswig;01;0;59;5949;185;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Mittelangeln;;;;24986;
001;Flensburg – Schleswig;01;0;59;5952;105;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Böxlund;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;115;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Großenwiehe;;;;24969;
001;Flensburg – Schleswig;01;0;59;5952;123;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Hörup;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;124;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Holt;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;129;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Jardelund;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;143;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Medelby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;144;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Meyn;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;149;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Nordhackstedt;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;151;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Osterby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;158;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Schafflund;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;173;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Wallsbüll;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;177;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Weesby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;179;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Lindewitt;;;;24969;
001;Flensburg – Schleswig;01;0;59;5974;006;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Böel;;;;24401;*****
001;Flensburg – Schleswig;01;0;59;5974;055;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Loit;;;;24888;*****
001;Flensburg – Schleswig;01;0;59;5974;060;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Mohrkirch;;;;24405;*****
001;Flensburg – Schleswig;01;0;59;5974;063;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Norderbrarup;;;;24392;
001;Flensburg – Schleswig;01;0;59;5974;065;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Nottfeld;;;;24392;
001;Flensburg – Schleswig;01;0;59;5974;070;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Rügge;;;;24405;
001;Flensburg – Schleswig;01;0;59;5974;072;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Saustrup;;;;24392;*****
001;Flensburg – Schleswig;01;0;59;5974;074;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Scheggerott;;;;24392;
001;Flensburg – Schleswig;01;0;59;5974;080;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Steinfeld;;;;24888;
001;Flensburg – Schleswig;01;0;59;5974;083;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Süderbrarup;;;;24392;
001;Flensburg – Schleswig;01;0;59;5974;094;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Ulsnis;;;;24897;*****
001;Flensburg – Schleswig;01;0;59;5974;095;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Wagersrott;;;;24392;
001;Flensburg – Schleswig;01;0;59;5974;187;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Boren;;;;24392;
001;Flensburg – Schleswig;01;0;59;5987;008;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Böklund;;;;24860;
001;Flensburg – Schleswig;01;0;59;5987;037;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Havetoft;;;;24873;
001;Flensburg – Schleswig;01;0;59;5987;042;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Idstedt;;;;24879;
001;Flensburg – Schleswig;01;0;59;5987;049;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Klappholz;;;;24860;
001;Flensburg – Schleswig;01;0;59;5987;062;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Neuberend;;;;24879;
001;Flensburg – Schleswig;01;0;59;5987;073;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Schaalby;;;;24882;
001;Flensburg – Schleswig;01;0;59;5987;081;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Stolk;;;;24890;
001;Flensburg – Schleswig;01;0;59;5987;082;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Struxdorf;;;;24891;
001;Flensburg – Schleswig;01;0;59;5987;084;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Süderfahrenstedt;;;;24890;
001;Flensburg – Schleswig;01;0;59;5987;086;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Taarstedt;;;;24893;
001;Flensburg – Schleswig;01;0;59;5987;090;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Tolk;;;;24894;
001;Flensburg – Schleswig;01;0;59;5987;093;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Uelsby;;;;24860;*****
001;Flensburg – Schleswig;01;0;59;5987;097;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Twedt;;;;24894;
