Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;;188;62;066;0010;Kleinbodungen;;;;1;1;262;194; 74,0;2;192;2;192;70; 36,5;72; 37,5;24; 12,5;24; 12,5;26; 13,5;24; 12,5;20; 10,4;22; 11,5;4; 2,1;8; 4,2;8; 4,2;6; 3,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40; 20,8;36; 18,8;-;-;-;-
V;;188;62;066;0011;Kraja;;;;1;1;225;159; 70,7;1;158;-;159;67; 42,4;73; 45,9;11; 7,0;11; 6,9;38; 24,1;29; 18,2;16; 10,1;23; 14,5;5; 3,2;7; 4,4;1; 0,6;1; 0,6;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;20; 12,7;14; 8,8;-;-;-;-
V;;188;62;066;0013;Nohra;;;;1;1;457;299; 65,4;2;297;-;299;106; 35,7;106; 35,5;30; 10,1;30; 10,0;74; 24,9;58; 19,4;39; 13,1;41; 13,7;9; 3,0;14; 4,7;2; 0,7;2; 0,7;-;-;1; 0,3;-;-;2; 0,7;-;-;-;-;-;-;1; 0,3;37; 12,5;44; 14,7;-;-;-;-
V;;188;62;066;0014;Obergebra;;;;1;1;676;463; 68,5;6;457;6;457;247; 54,0;247; 54,0;20; 4,4;18; 3,9;84; 18,4;77; 16,8;35; 7,7;46; 10,1;10; 2,2;11; 2,4;6; 1,3;6; 1,3;-;-;5; 1,1;-;-;1; 0,2;-;-;-;-;-;-;1; 0,2;55; 12,0;45; 9,8;-;-;-;-
V;;188;62;066;0015;Wernrode;;;;1;1;181;130; 71,8;3;127;3;127;53; 41,7;54; 42,5;13; 10,2;12; 9,4;30; 23,6;24; 18,9;18; 14,2;20; 15,7;4; 3,1;7; 5,5;-;-;1; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9; 7,1;9; 7,1;-;-;-;-
V;;188;62;066;0016;Wipperdorf;;;;1;1;1071;731; 68,3;3;728;4;727;310; 42,6;304; 41,8;59; 8,1;55; 7,6;144; 19,8;122; 16,8;116; 15,9;138; 19,0;12; 1,6;20; 2,8;9; 1,2;11; 1,5;-;-;2; 0,3;-;-;2; 0,3;1; 0,1;1; 0,1;-;-;-;-;77; 10,6;72; 9,9;-;-;-;-
V;;188;62;066;0017;Wollersleben;;;;1;1;185;124; 67,0;2;122;2;122;54; 44,3;55; 45,1;14; 11,5;14; 11,5;20; 16,4;18; 14,8;24; 19,7;24; 19,7;2; 1,6;2; 1,6;1; 0,8;1; 0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7; 5,7;8; 6,6;-;-;-;-
V;;188;62;066;0018;Wolkramshausen;;;;1;1;534;339; 63,5;4;335;4;335;190; 56,7;184; 54,9;18; 5,4;19; 5,7;59; 17,6;55; 16,4;34; 10,1;39; 11,6;8; 2,4;10; 3,0;6; 1,8;3; 0,9;-;-;4; 1,2;-;-;-;-;2; 0,6;1; 0,3;-;-;-;-;18; 5,4;20; 6,0;-;-;-;-
V;;188;62;066;9004;LG Stadt Bleicherode I;;;;1;1;-;797;-;6;791;7;790;132; 16,7;134; 17,0;94; 11,9;92; 11,6;236; 29,8;221; 28,0;101; 12,8;143; 18,1;14; 1,8;18; 2,3;23; 2,9;38; 4,8;-;-;6; 0,8;-;-;2; 0,3;1; 0,1;-;-;-;-;2; 0,3;190; 24,0;134; 17,0;-;-;-;-
V;;188;65;000;9110;Stadt An der Schmücke;;;;1;1;-;952;-;10;942;8;944;302; 32,1;296; 31,4;93; 9,9;82; 8,7;217; 23,0;188; 19,9;151; 16,0;165; 17,5;24; 2,5;34; 3,6;25; 2,7;25; 2,6;-;-;8; 0,8;-;-;4; 0,4;5; 0,5;2; 0,2;-;-;2; 0,2;125; 13,3;138; 14,6;-;-;-;-
V;;188;65;000;9111;Briefwahllokal;;;;1;1;-;1392;-;15;1377;10;1382;377; 27,4;363; 26,3;165; 12,0;168; 12,2;346; 25,1;292; 21,1;237; 17,2;266; 19,2;27; 2,0;41; 3,0;39; 2,8;28; 2,0;-;-;23; 1,7;-;-;2; 0,1;3; 0,2;2; 0,1;-;-;6; 0,4;183; 13,3;191; 13,8;-;-;-;-
V;;188;65;000;9112;Ebeleben überregionaler Briefwahlbezirk;;;;1;1;-;753;-;4;749;4;749;208; 27,8;206; 27,5;115; 15,4;99; 13,2;200; 26,7;184; 24,6;115; 15,4;126; 16,8;15; 2,0;17; 2,3;9; 1,2;15; 2,0;-;-;7; 0,9;-;-;6; 0,8;1; 0,1;1; 0,1;-;-;3; 0,4;86; 11,5;85; 11,3;-;-;-;-
V;;188;65;000;9113;überregionaler Briefwahlvorstand VG Greußen;;;;1;1;-;306;-;1;305;1;305;84; 27,5;85; 27,9;31; 10,2;36; 11,8;83; 27,2;77; 25,2;58; 19,0;57; 18,7;2; 0,7;3; 1,0;3; 1,0;4; 1,3;-;-;3; 1,0;-;-;-;-;3; 1,0;2; 0,7;-;-;1; 0,3;41; 13,4;37; 12,1;-;-;-;-
V;G;188;65;001;0000;Abtsbessingen;;;;1;1;376;218; 58,0;-;218;-;218;111; 50,9;111; 50,9;22; 10,1;16; 7,3;33; 15,1;29; 13,3;28; 12,8;35; 16,1;2; 0,9;5; 2,3;1; 0,5;1; 0,5;-;-;1; 0,5;-;-;-;-;-;-;-;-;-;-;-;-;21; 9,6;20; 9,2;-;-;-;-
V;;188;65;001;0001;Abstbessingen  1;;;;1;1;376;218; 58,0;-;218;-;218;111; 50,9;111; 50,9;22; 10,1;16; 7,3;33; 15,1;29; 13,3;28; 12,8;35; 16,1;2; 0,9;5; 2,3;1; 0,5;1; 0,5;-;-;1; 0,5;-;-;-;-;-;-;-;-;-;-;-;-;21; 9,6;20; 9,2;-;-;-;-
V;G;188;65;003;0000;Bad Frankenhausen/Kyffhäuser, Stadt;x;;;11;11;7937;6166; 77,7;43;6123;44;6122;2988; 48,8;2919; 47,7;517; 8,4;493; 8,1;1096; 17,9;937; 15,3;818; 13,4;860; 14,0;118; 1,9;145; 2,4;84; 1,4;111; 1,8;-;-;42; 0,7;-;-;15; 0,2;10; 0,2;2; 0,0;-;-;14; 0,2;492; 8,0;584; 9,5;-;-;-;-
V;;188;65;003;0001;Bad Frankenhausen Rathaus;;;;1;1;1211;679; 56,1;3;676;5;674;367; 54,3;371; 55,0;45; 6,7;44; 6,5;105; 15,5;91; 13,5;103; 15,2;94; 13,9;6; 0,9;9; 1,3;11; 1,6;17; 2,5;-;-;3; 0,4;-;-;-;-;1; 0,1;-;-;-;-;1; 0,1;38; 5,6;44; 6,5;-;-;-;-
V;;188;65;003;0002;Bad Frankenhausen Seniorenclub;;;;1;1;1185;718; 60,6;3;715;3;715;375; 52,4;372; 52,0;48; 6,7;47; 6,6;129; 18,0;96; 13,4;90; 12,6;96; 13,4;12; 1,7;22; 3,1;14; 2,0;14; 2,0;-;-;3; 0,4;-;-;1; 0,1;2; 0,3;2; 0,3;-;-;1; 0,1;45; 6,3;61; 8,5;-;-;-;-
V;;188;65;003;0003;Bad Frankenhausen Kurstadt-Grundschule;;;;1;1;859;491; 57,2;3;488;2;489;223; 45,7;217; 44,4;43; 8,8;43; 8,8;108; 22,1;93; 19,0;55; 11,3;55; 11,2;9; 1,8;15; 3,1;3; 0,6;6; 1,2;-;-;4; 0,8;-;-;3; 0,6;1; 0,2;-;-;-;-;-;-;46; 9,4;53; 10,8;-;-;-;-
V;;188;65;003;0004;Bad Frankenhausen Domizil;;;;1;1;1162;734; 63,2;5;729;7;727;406; 55,7;390; 53,6;38; 5,2;36; 5,0;133; 18,2;107; 14,7;90; 12,3;102; 14,0;14; 1,9;17; 2,3;4; 0,5;9; 1,2;-;-;2; 0,3;-;-;1; 0,1;1; 0,1;-;-;-;-;2; 0,3;43; 5,9;61; 8,4;-;-;-;-
V;;188;65;003;0005;Bad Frankenhausen Staatliche Regelschule;;;;1;1;1191;644; 54,1;4;640;4;640;346; 54,1;340; 53,1;66; 10,3;58; 9,1;71; 11,1;66; 10,3;96; 15,0;95; 14,8;12; 1,9;11; 1,7;7; 1,1;12; 1,9;-;-;3; 0,5;-;-;3; 0,5;1; 0,2;-;-;-;-;2; 0,3;41; 6,4;50; 7,8;-;-;-;-
V;;188;65;003;0006;Bad Frankenhausen Bürgerhaus OT Esperstedt;;;;1;1;425;300; 70,6;1;299;2;298;177; 59,2;173; 58,1;19; 6,4;16; 5,4;34; 11,4;32; 10,7;28; 9,4;29; 9,7;12; 4,0;16; 5,4;2; 0,7;1; 0,3;-;-;3; 1,0;-;-;-;-;-;-;-;-;-;-;1; 0,3;27; 9,0;27; 9,1;-;-;-;-
V;;188;65;003;0007;Bad Frankenhausen Bürgerhaus OT Seehausen;;;;1;1;317;224; 70,7;-;224;-;224;96; 42,9;85; 37,9;17; 7,6;16; 7,1;49; 21,9;43; 19,2;37; 16,5;36; 16,1;3; 1,3;4; 1,8;3; 1,3;5; 2,2;-;-;1; 0,4;-;-;-;-;-;-;-;-;-;-;3; 1,3;19; 8,5;31; 13,8;-;-;-;-
V;;188;65;003;0008;Bad Frankenhausen Bürgerhaus OT Udersleben;;;;1;1;473;308; 65,1;4;304;4;304;176; 57,9;174; 57,2;25; 8,2;19; 6,3;50; 16,4;46; 15,1;29; 9,5;33; 10,9;4; 1,3;6; 2,0;5; 1,6;4; 1,3;-;-;3; 1,0;-;-;-;-;-;-;-;-;-;-;-;-;15; 4,9;19; 6,3;-;-;-;-
V;;188;65;003;0009;Bad Frankenhausen Pfarrhaus OT Ichstedt;;;;1;1;459;321; 69,9;3;318;4;317;202; 63,5;193; 60,9;14; 4,4;18; 5,7;46; 14,5;43; 13,6;31; 9,7;29; 9,1;6; 1,9;5; 1,6;2; 0,6;2; 0,6;-;-;1; 0,3;-;-;-;-;-;-;-;-;-;-;1; 0,3;17; 5,3;25; 7,9;-;-;-;-
V;;188;65;003;0010;Bad Frankenhausen Pfarrhaus OT Ringleben;;;;1;1;655;425; 64,9;3;422;3;422;259; 61,4;252; 59,7;23; 5,5;23; 5,5;62; 14,7;55; 13,0;42; 10,0;43; 10,2;3; 0,7;7; 1,7;4; 0,9;4; 0,9;-;-;5; 1,2;-;-;-;-;2; 0,5;-;-;-;-;1; 0,2;27; 6,4;32; 7,6;-;-;-;-
V;;188;65;003;9001;Bad Frankenhausen Rathaus (Sitzungssaal);;;;1;1;-;1322;-;14;1308;10;1312;361; 27,6;352; 26,8;179; 13,7;173; 13,2;309; 23,6;265; 20,2;217; 16,6;248; 18,9;37; 2,8;33; 2,5;29; 2,2;37; 2,8;-;-;14; 1,1;-;-;7; 0,5;2; 0,2;-;-;-;-;2; 0,2;174; 13,3;181; 13,8;-;-;-;-
V;G;188;65;005;0000;Bellstedt;;;;1;1;142;125; 88,0;1;124;1;124;78; 62,9;77; 62,1;10; 8,1;7; 5,6;12; 9,7;17; 13,7;13; 10,5;12; 9,7;3; 2,4;1; 0,8;-;-;2; 1,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8; 6,5;8; 6,5;-;-;-;-
V;;188;65;005;0001;Bellstedt  1;;;;1;1;142;125; 88,0;1;124;1;124;78; 62,9;77; 62,1;10; 8,1;7; 5,6;12; 9,7;17; 13,7;13; 10,5;12; 9,7;3; 2,4;1; 0,8;-;-;2; 1,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8; 6,5;8; 6,5;-;-;-;-
V;G;188;65;008;0000;Borxleben;;;;1;1;231;160; 69,3;-;160;-;160;93; 58,1;92; 57,5;9; 5,6;10; 6,3;25; 15,6;23; 14,4;18; 11,3;18; 11,3;2; 1,3;3; 1,9;4; 2,5;2; 1,3;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;9; 5,6;11; 6,9;-;-;-;-
V;;188;65;008;0001;Borxleben  1;;;;1;1;231;160; 69,3;-;160;-;160;93; 58,1;92; 57,5;9; 5,6;10; 6,3;25; 15,6;23; 14,4;18; 11,3;18; 11,3;2; 1,3;3; 1,9;4; 2,5;2; 1,3;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;9; 5,6;11; 6,9;-;-;-;-
V;G;188;65;012;0000;Clingen, Stadt;;;;1;1;832;552; 66,3;5;547;5;547;260; 47,5;263; 48,1;43; 7,9;45; 8,2;111; 20,3;89; 16,3;82; 15,0;89; 16,3;15; 2,7;16; 2,9;5; 0,9;4; 0,7;-;-;2; 0,4;-;-;3; 0,5;-;-;-;-;-;-;2; 0,4;31; 5,7;34; 6,2;-;-;-;-
V;;188;65;012;0001;Clingen  1;;;;1;1;832;552; 66,3;5;547;5;547;260; 47,5;263; 48,1;43; 7,9;45; 8,2;111; 20,3;89; 16,3;82; 15,0;89; 16,3;15; 2,7;16; 2,9;5; 0,9;4; 0,7;-;-;2; 0,4;-;-;3; 0,5;-;-;-;-;-;-;2; 0,4;31; 5,7;34; 6,2;-;-;-;-
V;G;188;65;014;0000;Ebeleben, Stadt;;;;6;6;2225;1321; 59,4;17;1304;12;1309;647; 49,6;647; 49,4;102; 7,8;95; 7,3;257; 19,7;206; 15,7;154; 11,8;158; 12,1;23; 1,8;35; 2,7;11; 0,8;17; 1,3;-;-;19; 1,5;-;-;-;-;-;-;-;-;-;-;2; 0,2;110; 8,4;130; 9,9;-;-;-;-
V;;188;65;014;0001;Ebeleben  1;;;;1;1;1395;745; 53,4;12;733;9;736;354; 48,3;354; 48,1;67; 9,1;55; 7,5;134; 18,3;111; 15,1;91; 12,4;97; 13,2;15; 2,0;22; 3,0;6; 0,8;11; 1,5;-;-;7; 1,0;-;-;-;-;-;-;-;-;-;-;1; 0,1;66; 9,0;78; 10,6;-;-;-;-
V;;188;65;014;0002;Ebeleben  2 Allmenhausen;;;;1;1;327;229; 70,0;1;228;-;229;112; 49,1;111; 48,5;9; 3,9;13; 5,7;61; 26,8;47; 20,5;21; 9,2;24; 10,5;3; 1,3;5; 2,2;3; 1,3;3; 1,3;-;-;6; 2,6;-;-;-;-;-;-;-;-;-;-;-;-;19; 8,3;20; 8,7;-;-;-;-
V;;188;65;014;0003;Ebeleben  3 Rockensußra;;;;1;1;171;118; 69,0;2;116;2;116;52; 44,8;51; 44,0;5; 4,3;9; 7,8;30; 25,9;22; 19,0;13; 11,2;11; 9,5;3; 2,6;5; 4,3;1; 0,9;2; 1,7;-;-;4; 3,4;-;-;-;-;-;-;-;-;-;-;-;-;12; 10,3;12; 10,3;-;-;-;-
V;;188;65;014;0004;Ebeleben 4 Wiedermuth;;;;1;1;138;96; 69,6;1;95;-;96;49; 51,6;52; 54,2;8; 8,4;7; 7,3;15; 15,8;15; 15,6;16; 16,8;12; 12,5;1; 1,1;1; 1,0;-;-;-;-;-;-;2; 2,1;-;-;-;-;-;-;-;-;-;-;-;-;6; 6,3;7; 7,3;-;-;-;-
V;;188;65;014;0005;Ebeleben 5 Gundersleben;;;;1;1;116;67; 57,8;1;66;1;66;34; 51,5;33; 50,0;8; 12,1;8; 12,1;9; 13,6;4; 6,1;9; 13,6;9; 13,6;1; 1,5;2; 3,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1; 1,5;5; 7,6;9; 13,6;-;-;-;-
V;;188;65;014;0006;Ebeleben 6 Thüringenhausen;;;;1;1;78;66; 84,6;-;66;-;66;46; 69,7;46; 69,7;5; 7,6;3; 4,5;8; 12,1;7; 10,6;4; 6,1;5; 7,6;-;-;-;-;1; 1,5;1; 1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2; 3,0;4; 6,1;-;-;-;-
V;G;188;65;016;0000;Etzleben;;;;1;1;225;153; 68,0;-;153;-;153;58; 37,9;58; 37,9;3; 2,0;5; 3,3;42; 27,5;34; 22,2;27; 17,6;31; 20,3;8; 5,2;7; 4,6;1; 0,7;7; 4,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14; 9,2;11; 7,2;-;-;-;-
V;;188;65;016;0001;Etzleben  1;;;;1;1;225;153; 68,0;-;153;-;153;58; 37,9;58; 37,9;3; 2,0;5; 3,3;42; 27,5;34; 22,2;27; 17,6;31; 20,3;8; 5,2;7; 4,6;1; 0,7;7; 4,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14; 9,2;11; 7,2;-;-;-;-
V;G;188;65;018;0000;Freienbessingen;;;;1;1;166;125; 75,3;-;125;1;124;76; 60,8;75; 60,5;6; 4,8;7; 5,6;21; 16,8;20; 16,1;18; 14,4;16; 12,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4; 3,2;6; 4,8;-;-;-;-
V;;188;65;018;0001;Freienbessingen  1;;;;1;1;166;125; 75,3;-;125;1;124;76; 60,8;75; 60,5;6; 4,8;7; 5,6;21; 16,8;20; 16,1;18; 14,4;16; 12,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4; 3,2;6; 4,8;-;-;-;-
V;G;188;65;019;0000;Gehofen;;;;1;1;505;362; 71,7;2;360;1;361;202; 56,1;194; 53,7;16; 4,4;14; 3,9;56; 15,6;59; 16,3;38; 10,6;42; 11,6;11; 3,1;10; 2,8;3; 0,8;1; 0,3;-;-;5; 1,4;-;-;1; 0,3;1; 0,3;-;-;-;-;1; 0,3;33; 9,2;34; 9,4;-;-;-;-
V;;188;65;019;0001;Gehofen  1;;;;1;1;505;362; 71,7;2;360;1;361;202; 56,1;194; 53,7;16; 4,4;14; 3,9;56; 15,6;59; 16,3;38; 10,6;42; 11,6;11; 3,1;10; 2,8;3; 0,8;1; 0,3;-;-;5; 1,4;-;-;1; 0,3;1; 0,3;-;-;-;-;1; 0,3;33; 9,2;34; 9,4;-;-;-;-
V;G;188;65;032;0000;Helbedündorf;;;;5;5;1825;1235; 67,7;11;1224;10;1225;568; 46,4;555; 45,3;118; 9,6;115; 9,4;241; 19,7;210; 17,1;150; 12,3;165; 13,5;13; 1,1;20; 1,6;9; 0,7;13; 1,1;-;-;10; 0,8;-;-;2; 0,2;5; 0,4;1; 0,1;-;-;1; 0,1;120; 9,8;133; 10,9;-;-;-;-
V;;188;65;032;0001;Helbedündorf/Großbrüchter  1;;;;1;1;292;187; 64,0;-;187;-;187;73; 39,0;71; 38,0;15; 8,0;19; 10,2;41; 21,9;36; 19,3;29; 15,5;30; 16,0;1; 0,5;5; 2,7;3; 1,6;2; 1,1;-;-;2; 1,1;-;-;-;-;1; 0,5;-;-;-;-;-;-;24; 12,8;22; 11,8;-;-;-;-
V;;188;65;032;0002;Helbedündorf/Holzthaleben  2;;;;1;1;699;495; 70,8;7;488;7;488;216; 44,3;209; 42,8;51; 10,5;45; 9,2;106; 21,7;97; 19,9;57; 11,7;60; 12,3;9; 1,8;10; 2,0;1; 0,2;3; 0,6;-;-;6; 1,2;-;-;-;-;1; 0,2;-;-;-;-;1; 0,2;47; 9,6;57; 11,7;-;-;-;-
V;;188;65;032;0003;Helbedündorf/Keula 3;;;;1;1;475;329; 69,3;3;326;2;327;159; 48,8;158; 48,3;22; 6,7;22; 6,7;57; 17,5;47; 14,4;43; 13,2;49; 15,0;2; 0,6;4; 1,2;3; 0,9;5; 1,5;-;-;1; 0,3;-;-;1; 0,3;2; 0,6;1; 0,3;-;-;-;-;38; 11,7;39; 11,9;-;-;-;-
V;;188;65;032;0004;Helbedündorf/Kleinbrüchter  4;;;;1;1;148;105; 70,9;1;104;1;104;56; 53,8;52; 50,0;11; 10,6;10; 9,6;21; 20,2;15; 14,4;11; 10,6;17; 16,3;-;-;-;-;1; 1,0;2; 1,9;-;-;-;-;-;-;-;-;1; 1,0;-;-;-;-;-;-;3; 2,9;8; 7,7;-;-;-;-
V;;188;65;032;0005;Helbedündorf/Toba  5;;;;1;1;211;119; 56,4;-;119;-;119;64; 53,8;65; 54,6;19; 16,0;19; 16,0;16; 13,4;15; 12,6;10; 8,4;9; 7,6;1; 0,8;1; 0,8;1; 0,8;1; 0,8;-;-;1; 0,8;-;-;1; 0,8;-;-;-;-;-;-;-;-;8; 6,7;7; 5,9;-;-;-;-
V;G;188;65;038;0000;Holzsußra;;;;1;1;222;171; 77,0;1;170;-;171;72; 42,4;73; 42,7;16; 9,4;17; 9,9;39; 22,9;36; 21,1;25; 14,7;25; 14,6;2; 1,2;2; 1,2;1; 0,6;2; 1,2;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;15; 8,8;15; 8,8;-;-;-;-
V;;188;65;038;0001;Holzsußra  1;;;;1;1;222;171; 77,0;1;170;-;171;72; 42,4;73; 42,7;16; 9,4;17; 9,9;39; 22,9;36; 21,1;25; 14,7;25; 14,6;2; 1,2;2; 1,2;1; 0,6;2; 1,2;-;-;1; 0,6;-;-;-;-;-;-;-;-;-;-;-;-;15; 8,8;15; 8,8;-;-;-;-
V;G;188;65;042;0000;Kalbsrieth;;;;1;1;491;335; 68,2;5;330;3;332;155; 47,0;147; 44,3;41; 12,4;37; 11,1;63; 19,1;60; 18,1;33; 10,0;42; 12,7;7; 2,1;4; 1,2;2; 0,6;2; 0,6;-;-;3; 0,9;-;-;2; 0,6;1; 0,3;-;-;-;-;2; 0,6;28; 8,5;33; 9,9;-;-;-;-
V;;188;65;042;0001;Kalbsrieth 1;;;;1;1;491;335; 68,2;5;330;3;332;155; 47,0;147; 44,3;41; 12,4;37; 11,1;63; 19,1;60; 18,1;33; 10,0;42; 12,7;7; 2,1;4; 1,2;2; 0,6;2; 0,6;-;-;3; 0,9;-;-;2; 0,6;1; 0,3;-;-;-;-;2; 0,6;28; 8,5;33; 9,9;-;-;-;-
V;G;188;65;046;0000;Mönchpfiffel-Nikolausrieth;;;;1;1;252;176; 69,8;2;174;2;174;91; 52,3;92; 52,9;14; 8,0;14; 8,0;28; 16,1;22; 12,6;20; 11,5;25; 14,4;1; 0,6;1; 0,6;1; 0,6;1; 0,6;-;-;1; 0,6;-;-;-;-;1; 0,6;-;-;-;-;-;-;18; 10,3;18; 10,3;-;-;-;-
V;;188;65;046;0001;Mönchpfiffel-Nikolausrieth  1;;;;1;1;252;176; 69,8;2;174;2;174;91; 52,3;92; 52,9;14; 8,0;14; 8,0;28; 16,1;22; 12,6;20; 11,5;25; 14,4;1; 0,6;1; 0,6;1; 0,6;1; 0,6;-;-;1; 0,6;-;-;-;-;1; 0,6;-;-;-;-;-;-;18; 10,3;18; 10,3;-;-;-;-
V;G;188;65;048;0000;Niederbösa;;;;1;1;100;88; 88,0;-;88;-;88;54; 61,4;55; 62,5;5; 5,7;6; 6,8;7; 8,0;5; 5,7;12; 13,6;12; 13,6;2; 2,3;1; 1,1;-;-;-;-;-;-;-;-;-;-;1; 1,1;2; 2,3;1; 1,1;-;-;-;-;6; 6,8;7; 8,0;-;-;-;-
V;;188;65;048;0001;Niederbösa;;;;1;1;100;88; 88,0;-;88;-;88;54; 61,4;55; 62,5;5; 5,7;6; 6,8;7; 8,0;5; 5,7;12; 13,6;12; 13,6;2; 2,3;1; 1,1;-;-;-;-;-;-;-;-;-;-;1; 1,1;2; 2,3;1; 1,1;-;-;-;-;6; 6,8;7; 8,0;-;-;-;-
V;G;188;65;051;0000;Oberbösa;;;;1;1;259;194; 74,9;2;192;1;193;96; 50,0;95; 49,2;12; 6,3;14; 7,3;44; 22,9;40; 20,7;26; 13,5;28; 14,5;2; 1,0;3; 1,6;1; 0,5;3; 1,6;-;-;2; 1,0;-;-;-;-;1; 0,5;-;-;-;-;-;-;10; 5,2;8; 4,1;-;-;-;-
V;;188;65;051;0001;Oberbösa;;;;1;1;259;194; 74,9;2;192;1;193;96; 50,0;95; 49,2;12; 6,3;14; 7,3;44; 22,9;40; 20,7;26; 13,5;28; 14,5;2; 1,0;3; 1,6;1; 0,5;3; 1,6;-;-;2; 1,0;-;-;-;-;1; 0,5;-;-;-;-;-;-;10; 5,2;8; 4,1;-;-;-;-
V;G;188;65;052;0000;Oberheldrungen;;;;1;1;624;425; 68,1;4;421;-;425;219; 52,0;214; 50,4;30; 7,1;33; 7,8;70; 16,6;66; 15,5;65; 15,4;64; 15,1;6; 1,4;11; 2,6;1; 0,2;2; 0,5;-;-;1; 0,2;-;-;1; 0,2;1; 0,2;1; 0,2;-;-;-;-;29; 6,9;32; 7,5;-;-;-;-
V;;188;65;052;0001;Oberheldrungen  1;;;;1;1;624;425; 68,1;4;421;-;425;219; 52,0;214; 50,4;30; 7,1;33; 7,8;70; 16,6;66; 15,5;65; 15,4;64; 15,1;6; 1,4;11; 2,6;1; 0,2;2; 0,5;-;-;1; 0,2;-;-;1; 0,2;1; 0,2;1; 0,2;-;-;-;-;29; 6,9;32; 7,5;-;-;-;-
V;G;188;65;056;0000;Reinsdorf;;;;1;1;597;413; 69,2;2;411;-;413;210; 51,1;207; 50,1;34; 8,3;28; 6,8;71; 17,3;64; 15,5;57; 13,9;68; 16,5;9; 2,2;9; 2,2;2; 0,5;3; 0,7;-;-;3; 0,7;-;-;1; 0,2;1; 0,2;-;-;-;-;-;-;27; 6,6;30; 7,3;-;-;-;-
V;;188;65;056;0001;Reinsdorf  1;;;;1;1;597;413; 69,2;2;411;-;413;210; 51,1;207; 50,1;34; 8,3;28; 6,8;71; 17,3;64; 15,5;57; 13,9;68; 16,5;9; 2,2;9; 2,2;2; 0,5;3; 0,7;-;-;3; 0,7;-;-;1; 0,2;1; 0,2;-;-;-;-;-;-;27; 6,6;30; 7,3;-;-;-;-
V;G;188;65;058;0000;Rockstedt;;;;1;1;173;139; 80,3;-;139;-;139;49; 35,3;45; 32,4;12; 8,6;14; 10,1;34; 24,5;28; 20,1;27; 19,4;20; 14,4;4; 2,9;7; 5,0;-;-;5; 3,6;-;-;-;-;-;-;1; 0,7;-;-;-;-;-;-;-;-;13; 9,4;19; 13,7;-;-;-;-
V;;188;65;058;0001;Rockstedt  1;;;;1;1;173;139; 80,3;-;139;-;139;49; 35,3;45; 32,4;12; 8,6;14; 10,1;34; 24,5;28; 20,1;27; 19,4;20; 14,4;4; 2,9;7; 5,0;-;-;5; 3,6;-;-;-;-;-;-;1; 0,7;-;-;-;-;-;-;-;-;13; 9,4;19; 13,7;-;-;-;-
