Stand;Satzart;Wahlkreisnr;Kreisnr;Gemeindenr;Wahlbezirksnr;Name;Gemeinde mit eigenem Briefwahlbezirk;abgebend nach Gemeinde/Wahlbezirk;aufnehmend von Gemeinde/Wahlbezirk;Anzahl Wahlbezirke;;Wahlberechtigte;Wähler;Wahlbeteiligung;Erststimmen;;Zweitstimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;insgesamt;erfasst;;;;ungültige;gültige;ungültige;gültige;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Erststimmen;
;;;;;;;;;;;;;;;;;;;AfD;;AfD;;SPD;;SPD;;CDU;;CDU;;Die Linke;;Die Linke;;FDP;;FDP;;GRÜNE;;GRÜNE;;FREIE WÄHLER;;FREIE WÄHLER;;Volt;;Volt;;MLPD;;MLPD;;BÜNDNIS DEUTSCHLAND;;BÜNDNIS DEUTSCHLAND;;BSW;;BSW;;Einzelbewerber;;Einzelbewerber;
;;;;;;;;;;;;;;;;;;;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%;absolut;%
V;;188;61;074;0001;Niederorschel 1;;;;1;1;885;509; 57,5;6;503;7;502;213; 42,3;209; 41,6;44; 8,7;38; 7,6;130; 25,8;114; 22,7;68; 13,5;65; 12,9;6; 1,2;14; 2,8;12; 2,4;16; 3,2;-;-;3; 0,6;-;-;1; 0,2;-;-;1; 0,2;-;-;1; 0,2;30; 6,0;40; 8,0;-;-;-;-
V;;188;61;074;0002;Niederorschel 2;;;;1;1;1153;602; 52,2;1;601;3;599;245; 40,8;242; 40,4;36; 6,0;38; 6,3;217; 36,1;164; 27,4;44; 7,3;47; 7,8;11; 1,8;26; 4,3;16; 2,7;25; 4,2;-;-;9; 1,5;-;-;4; 0,7;1; 0,2;-;-;-;-;3; 0,5;31; 5,2;41; 6,8;-;-;-;-
V;;188;61;074;0003;Niederorschel 3 - OT Rüdigershagen;;;;1;1;378;245; 64,8;2;243;2;243;94; 38,7;98; 40,3;21; 8,6;26; 10,7;79; 32,5;58; 23,9;25; 10,3;27; 11,1;9; 3,7;10; 4,1;1; 0,4;2; 0,8;-;-;5; 2,1;-;-;-;-;1; 0,4;-;-;-;-;1; 0,4;13; 5,3;16; 6,6;-;-;-;-
V;;188;61;074;0004;Deuna;;;;1;1;720;408; 56,7;4;404;3;405;114; 28,2;115; 28,4;20; 5,0;26; 6,4;189; 46,8;162; 40,0;44; 10,9;47; 11,6;16; 4,0;21; 5,2;5; 1,2;8; 2,0;-;-;6; 1,5;-;-;-;-;-;-;-;-;-;-;3; 0,7;16; 4,0;17; 4,2;-;-;-;-
V;;188;61;074;0005;Vollenborn;;;;1;1;190;159; 83,7;2;157;1;158;72; 45,9;71; 44,9;6; 3,8;6; 3,8;47; 29,9;40; 25,3;13; 8,3;17; 10,8;9; 5,7;12; 7,6;4; 2,5;3; 1,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6; 3,8;9; 5,7;-;-;-;-
V;;188;61;074;0006;Gerterode;;;;1;1;286;215; 75,2;2;213;2;213;105; 49,3;94; 44,1;16; 7,5;16; 7,5;35; 16,4;30; 14,1;22; 10,3;28; 13,1;7; 3,3;5; 2,3;2; 0,9;3; 1,4;-;-;7; 3,3;-;-;-;-;-;-;-;-;-;-;-;-;26; 12,2;30; 14,1;-;-;-;-
V;;188;61;074;0007;Hausen;;;;1;1;338;244; 72,2;3;241;4;240;85; 35,3;85; 35,4;13; 5,4;16; 6,7;97; 40,2;78; 32,5;26; 10,8;30; 12,5;8; 3,3;11; 4,6;3; 1,2;5; 2,1;-;-;5; 2,1;-;-;-;-;-;-;-;-;-;-;2; 0,8;9; 3,7;8; 3,3;-;-;-;-
V;;188;61;074;0008;Kleinbartloff;;;;1;1;346;245; 70,8;3;242;-;245;89; 36,8;86; 35,1;14; 5,8;17; 6,9;93; 38,4;78; 31,8;23; 9,5;33; 13,5;6; 2,5;8; 3,3;5; 2,1;6; 2,4;-;-;5; 2,0;-;-;2; 0,8;-;-;-;-;-;-;-;-;12; 5,0;10; 4,1;-;-;-;-
V;;188;61;074;9009;Briefwahl Bundestagswahl;;;;1;1;-;990;-;6;984;2;988;221; 22,5;213; 21,6;82; 8,3;85; 8,6;461; 46,8;383; 38,8;100; 10,2;142; 14,4;21; 2,1;27; 2,7;29; 2,9;39; 3,9;-;-;14; 1,4;-;-;3; 0,3;5; 0,5;2; 0,2;-;-;1; 0,1;65; 6,6;79; 8,0;-;-;-;-
V;G;188;61;075;0000;Pfaffschwende;;;;1;1;227;170; 74,9;2;168;2;168;74; 44,0;72; 42,9;7; 4,2;9; 5,4;60; 35,7;49; 29,2;11; 6,5;15; 8,9;5; 3,0;3; 1,8;1; 0,6;2; 1,2;-;-;2; 1,2;-;-;1; 0,6;1; 0,6;1; 0,6;-;-;2; 1,2;9; 5,4;12; 7,1;-;-;-;-
