Wahl,Ebene,WK-Nr,WK-Name,Ebene,AGS,Ortname,Briefwahl_Sonderfall,genaue Briefwahlzuordung,A1,A2,A3,Wahlberechtigte,Wähler,B1,Briefwähler,ungültige_1,gültige_1,AfD_1,SPD_1,CDU_1,FDP_1,Die Linke_1,GRÜNE_1,FREIE WÄHLER_1,Die PARTEI_1,Volt_1,PdH_1,MLPD_1,BÜNDNIS DEUTSCHLAND_1,BSW_1,EB:Busse_1,EB:Mauer_1,EB:Schubert_1,ungültige_2,gültige_2,AfD_2,SPD_2,CDU_2,FDP_2,Die Linke_2,GRÜNE_2,FREIE WÄHLER_2,Tierschutzpartei_2,Die PARTEI_2,PIRATEN_2,Volt_2,PdH_2,MLPD_2,BÜNDNIS DEUTSCHLAND_2,BSW_2,,Wahlbeteiligung,B1 in %,Briefwähler in %,ungültige_1 in %,gültige_1 in %,AfD_1 in %,SPD_1 in %,CDU_1 in %,FDP_1 in %,Die Linke_1 in %,GRÜNE_1 in %,FREIE WÄHLER_1 in %,Die PARTEI_1 in %,Volt_1 in %,PdH_1 in %,MLPD_1 in %,BÜNDNIS DEUTSCHLAND_1 in %,BSW_1 in %,EB:Busse_1 in %,EB:Mauer_1 in %,EB:Schubert_1 in %,ungültige_2 in %,gültige_2 in %,AfD_2 in %,SPD_2 in %,CDU_2 in %,FDP_2 in %,Die Linke_2 in %,GRÜNE_2 in %,FREIE WÄHLER_2 in %,Tierschutzpartei_2 in %,Die PARTEI_2 in %,PIRATEN_2 in %,Volt_2 in %,PdH_2 in %,MLPD_2 in %,BÜNDNIS DEUTSCHLAND_2 in %,BSW_2 in %
BW25,WK,150,Nordsachsen,GE,14730120,Elsnig,,,920,205,0,1125,929,194,193,6,923,461,94,198,32,46,10,62,7,4,x,x,9,x,x,x,x,5,924,464,72,183,40,55,16,13,9,4,0,1,0,0,2,65,x,83,21,21,1,99,50,10,22,4,5,1,7,1,0,x,x,1,x,x,x,x,1,100,50,8,20,4,6,2,1,1,0,0,0,0,0,0,7
BW25,WK,150,Nordsachsen,GE,14730140,Jesewitz,,,1910,584,0,2494,2157,562,562,15,2142,882,210,570,53,171,73,118,29,15,x,x,21,x,x,x,x,8,2149,888,184,459,73,145,92,40,17,8,2,7,4,0,2,228,x,87,26,26,1,99,41,10,27,3,8,3,6,1,1,x,x,1,x,x,x,x,0,100,41,9,21,3,7,4,2,1,0,0,0,0,0,0,11
BW25,WK,150,Nordsachsen,GE,14730150,Krostitz,,,2466,889,0,3355,2975,850,847,21,2954,1196,314,853,79,217,80,140,31,20,x,x,24,x,x,x,x,20,2955,1171,240,708,123,229,110,49,45,17,2,5,3,2,8,243,x,89,29,28,1,99,41,11,29,3,7,3,5,1,1,x,x,1,x,x,x,x,1,99,40,8,24,4,8,4,2,2,1,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730160,Laußig,,,2512,428,0,2940,2464,415,415,19,2445,1219,179,524,41,125,45,278,18,5,x,x,11,x,x,x,x,15,2449,1212,162,495,61,136,54,91,21,8,2,2,0,0,5,200,x,84,17,17,1,99,50,7,21,2,5,2,11,1,0,x,x,0,x,x,x,x,1,99,50,7,20,3,6,2,4,1,0,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730170,Liebschützberg,,,1839,513,0,2352,1992,484,484,23,1969,1013,123,540,28,128,26,59,20,14,x,x,18,x,x,x,x,15,1977,998,121,448,44,98,33,26,17,7,5,7,0,1,8,164,x,85,24,24,1,99,51,6,27,1,7,1,3,1,1,x,x,1,x,x,x,x,1,99,51,6,23,2,5,2,1,1,0,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730180,Löbnitz,,,1281,396,0,1677,1427,385,385,15,1412,630,232,327,23,74,14,83,10,8,x,x,11,x,x,x,x,11,1416,627,110,313,41,90,39,35,22,7,0,5,0,0,5,122,x,85,27,27,1,99,45,16,23,2,5,1,6,1,1,x,x,1,x,x,x,x,1,99,44,8,22,3,6,3,3,2,1,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730190,Mockrehna,,,3070,799,0,3869,3307,752,749,30,3277,1809,215,690,52,166,37,237,33,20,x,x,18,x,x,x,x,26,3281,1774,178,598,77,170,58,110,24,11,4,10,5,1,4,257,x,86,23,23,1,99,55,7,21,2,5,1,7,1,1,x,x,1,x,x,x,x,1,99,54,5,18,2,5,2,3,1,0,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730200,"Mügeln, Stadt",,,3581,1112,0,4693,3723,1058,1058,45,3678,1746,314,951,92,298,67,140,34,14,x,x,22,x,x,x,x,33,3690,1696,269,786,109,253,91,80,40,23,11,8,1,3,5,315,x,79,28,28,1,99,48,9,26,3,8,2,4,1,0,x,x,1,x,x,x,x,1,99,46,7,21,3,7,3,2,1,1,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730210,Naundorf,,,1448,379,0,1827,1572,372,372,15,1557,768,112,379,39,105,26,87,20,6,x,x,15,x,x,x,x,4,1568,747,101,309,47,110,34,47,20,7,1,2,1,2,3,137,x,86,24,24,1,99,49,7,24,3,7,2,6,1,0,x,x,1,x,x,x,x,0,100,48,6,20,3,7,2,3,1,0,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730230,"Oschatz, Stadt",,,8856,2557,0,11413,8568,2399,2395,96,8472,3900,713,2102,152,833,163,345,118,65,x,x,81,x,x,x,x,59,8509,3789,651,1729,211,748,239,172,83,52,21,36,7,2,21,748,x,75,28,28,1,99,46,8,25,2,10,2,4,1,1,x,x,1,x,x,x,x,1,99,45,8,20,3,9,3,2,1,1,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730250,Rackwitz,,,3102,1021,0,4123,3405,975,975,23,3382,1356,405,889,58,327,101,142,46,37,x,x,21,x,x,x,x,20,3385,1317,309,737,85,328,150,62,55,14,8,22,0,2,16,280,x,83,29,29,1,99,40,12,26,2,10,3,4,1,1,x,x,1,x,x,x,x,1,99,39,9,22,3,10,4,2,2,0,0,1,0,0,1,8
BW25,WK,150,Nordsachsen,GE,14730270,"Schkeuditz, Stadt",,,10761,3704,9,14474,11374,3530,3504,97,11277,4432,1112,3026,264,1093,471,550,128,112,x,x,89,x,x,x,x,56,11318,4340,1003,2453,381,1004,571,236,166,68,22,54,12,8,32,968,x,79,31,31,1,99,39,10,27,2,10,4,5,1,1,x,x,1,x,x,x,x,1,100,38,9,22,3,9,5,2,2,1,0,1,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730280,Schönwölkau,,,1700,456,0,2156,1794,436,435,15,1779,768,173,457,41,135,57,108,17,13,x,x,10,x,x,x,x,10,1784,760,139,393,71,127,75,44,14,12,0,8,1,1,3,136,x,83,24,24,1,99,43,10,26,2,8,3,6,1,1,x,x,1,x,x,x,x,1,99,43,8,22,4,7,4,3,1,1,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730300,"Taucha, Stadt",,,9291,3325,0,12616,10614,3201,3173,89,10525,3749,1076,3281,352,967,442,325,127,117,x,x,89,x,x,x,x,61,10553,3655,990,2469,507,976,621,148,117,44,11,66,14,5,34,896,x,84,30,30,1,99,36,10,31,3,9,4,3,1,1,x,x,1,x,x,x,x,1,99,35,9,23,5,9,6,1,1,0,0,1,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730310,"Torgau, Stadt",,,12194,2863,0,15057,11306,2698,2685,96,11210,5028,1133,2568,220,1054,227,639,142,84,x,x,115,x,x,x,x,86,11220,4905,1037,2123,373,980,332,193,157,52,16,45,11,6,55,935,x,75,24,24,1,99,45,10,23,2,9,2,6,1,1,x,x,1,x,x,x,x,1,99,44,9,19,3,9,3,2,1,1,0,0,0,0,1,8
BW25,WK,150,Nordsachsen,GE,14730320,Trossin,,,818,194,0,1012,873,190,190,7,866,415,68,207,15,65,12,74,8,1,x,x,1,x,x,x,x,5,868,417,44,181,28,65,17,29,15,4,0,0,0,0,0,68,x,86,22,22,1,99,48,8,24,2,8,1,9,1,0,x,x,0,x,x,x,x,1,99,48,5,21,3,8,2,3,2,1,0,0,0,0,0,8
BW25,WK,150,Nordsachsen,GE,14730330,Wermsdorf,,,3169,1030,0,4199,3414,988,982,43,3371,1576,297,827,69,264,84,172,45,12,x,x,25,x,x,x,x,30,3384,1522,254,667,78,281,116,74,36,19,4,7,3,1,17,305,x,81,29,29,1,99,47,9,25,2,8,3,5,1,0,x,x,1,x,x,x,x,1,99,45,8,20,2,8,3,2,1,1,0,0,0,0,1,9
BW25,WK,150,Nordsachsen,GE,14730340,Wiedemar,,,3202,1166,0,4368,3696,1131,1118,32,3664,1669,386,896,76,263,81,195,46,36,x,x,16,x,x,x,x,24,3672,1638,288,780,118,245,118,63,43,15,6,12,5,0,7,334,x,85,31,30,1,99,46,11,25,2,7,2,5,1,1,x,x,0,x,x,x,x,1,99,45,8,21,3,7,3,2,1,0,0,0,0,0,0,9
BW25,WK,150,Nordsachsen,GE,14730360,Zschepplin,,,1926,437,0,2363,1980,417,415,16,1964,881,164,487,50,115,58,162,26,12,x,x,9,x,x,x,x,17,1963,876,139,413,62,141,71,56,20,12,1,10,0,0,8,154,x,84,21,21,1,99,45,8,25,3,6,3,8,1,1,x,x,1,x,x,x,x,1,99,45,7,21,3,7,4,3,1,1,0,1,0,0,0,8
BW25,WK,151,Leipzig I,TG,147130001,Leipzig I,,,155657,69363,0,225020,183932,66485,65508,970,182962,45730,21472,39286,3828,39377,13796,2186,2279,1809,x,290,382,11727,490,310,x,932,183000,46288,18456,31901,5826,38513,19747,1675,2431,1415,341,1550,200,141,309,14207,x,82,36,36,1,100,25,12,22,2,22,8,1,1,1,x,0,0,6,0,0,x,1,100,25,10,17,3,21,11,1,1,1,0,1,0,0,0,8
BW25,WK,152,Leipzig II,TG,147130002,Leipzig II,,,151606,81144,0,232750,195980,78259,77316,817,195163,36549,16615,31270,3987,71811,19954,2005,2058,x,407,x,394,10113,x,x,x,737,195243,36425,21933,30753,6130,46694,31717,1482,1990,1465,296,1847,256,96,336,13823,x,84,40,39,0,100,19,9,16,2,37,10,1,1,x,0,x,0,5,x,x,x,0,100,19,11,16,3,24,16,1,1,1,0,1,0,0,0,7
BW25,WK,153,Leipzig-Land,GE,14729010,"Bad Lausick, Stadt",,,5129,1564,0,6693,5511,1504,1490,49,5462,2040,634,1466,100,421,126,338,x,x,14,x,x,323,x,x,x,34,5477,2079,492,1338,139,428,190,194,65,28,7,26,4,3,10,474,x,82,27,27,1,99,37,12,27,2,8,2,6,x,x,0,x,x,6,x,x,x,1,99,38,9,24,3,8,4,4,1,1,0,1,0,0,0,9
BW25,WK,153,Leipzig-Land,GE,14729020,Belgershain,,,2108,617,0,2725,2405,583,582,17,2388,942,227,569,53,189,59,191,x,x,4,x,x,154,x,x,x,17,2388,951,203,546,85,185,79,85,24,9,3,8,3,0,7,200,x,88,24,24,1,99,39,10,24,2,8,3,8,x,x,0,x,x,6,x,x,x,1,99,40,9,23,4,8,3,4,1,0,0,0,0,0,0,8
BW25,WK,153,Leipzig-Land,GE,14729030,Bennewitz,,,3077,1054,0,4131,3506,1014,1013,34,3472,1365,341,852,75,338,136,126,x,x,8,x,x,231,x,x,x,24,3482,1369,274,780,104,289,181,64,34,18,2,19,5,1,4,338,x,85,29,29,1,99,39,10,25,2,10,4,4,x,x,0,x,x,7,x,x,x,1,99,39,8,22,3,8,5,2,1,1,0,1,0,0,0,10
